Ball_Type,Ball_Name,Ball_Size,Size_Label,Condition,Mass_kg,Velocity_m_s,Energy_J,Peak_Pressure_kPa,PPSI90_Duration_ms
F1,Laceless Leather,4,Size 4 (U14),Dry,0.3953,23,104.55,6.921,0.3231
F1,Laceless Leather,4,Size 4 (U14),Dry,0.3953,28,154.95,10.258,0.4788
F1,Laceless Leather,4,Size 4 (U14),Dry,0.3953,35,242.11,16.028,0.7481
F1,Laceless Leather,4,Size 4 (U14),Damp,0.4071,10,20.36,1.348,0.0629
F1,Laceless Leather,4,Size 4 (U14),Damp,0.4071,14,39.9,2.641,0.1233
F1,Laceless Leather,4,Size 4 (U14),Damp,0.4071,18,65.96,4.366,0.2038
F1,Laceless Leather,4,Size 4 (U14),Damp,0.4071,23,107.69,7.129,0.3328
F1,Laceless Leather,4,Size 4 (U14),Damp,0.4071,28,159.6,10.565,0.4932
F1,Laceless Leather,4,Size 4 (U14),Damp,0.4071,35,249.37,16.508,0.7706
F1,Laceless Leather,4,Size 4 (U14),Wet,0.419,10,20.95,1.387,0.0647
F1,Laceless Leather,4,Size 4 (U14),Wet,0.419,14,41.06,2.718,0.1269
F1,Laceless Leather,4,Size 4 (U14),Wet,0.419,18,67.88,4.493,0.2097
F1,Laceless Leather,4,Size 4 (U14),Wet,0.419,23,110.82,7.337,0.3424
F1,Laceless Leather,4,Size 4 (U14),Wet,0.419,28,164.25,10.873,0.5075
F1,Laceless Leather,4,Size 4 (U14),Wet,0.419,35,256.64,16.989,0.793
F1,Laceless Leather,5,Size 5 (Elite),Dry,0.4392,10,21.96,1.454,0.0679
F1,Laceless Leather,5,Size 5 (Elite),Dry,0.4392,14,43.04,2.849,0.133
F1,Laceless Leather,5,Size 5 (Elite),Dry,0.4392,18,71.15,4.71,0.2199
F1,Laceless Leather,5,Size 5 (Elite),Dry,0.4392,23,116.17,7.69,0.359
F1,Laceless Leather,5,Size 5 (Elite),Dry,0.4392,28,172.17,11.397,0.532
F1,Laceless Leather,5,Size 5 (Elite),Dry,0.4392,35,269.01,17.808,0.8312
F1,Laceless Leather,5,Size 5 (Elite),Damp,0.4524,10,22.62,1.497,0.0699
F1,Laceless Leather,5,Size 5 (Elite),Damp,0.4524,14,44.33,2.935,0.137
F1,Laceless Leather,5,Size 5 (Elite),Damp,0.4524,18,73.28,4.851,0.2265
F1,Laceless Leather,5,Size 5 (Elite),Damp,0.4524,23,119.65,7.921,0.3697
F1,Laceless Leather,5,Size 5 (Elite),Damp,0.4524,28,177.33,11.739,0.548
F1,Laceless Leather,5,Size 5 (Elite),Damp,0.4524,35,277.08,18.343,0.8562
F1,Laceless Leather,5,Size 5 (Elite),Wet,0.4656,10,23.28,1.541,0.0719
F1,Laceless Leather,5,Size 5 (Elite),Wet,0.4656,14,45.62,3.02,0.141
F1,Laceless Leather,5,Size 5 (Elite),Wet,0.4656,18,75.42,4.993,0.233
F1,Laceless Leather,5,Size 5 (Elite),Wet,0.4656,23,123.14,8.152,0.3805
F1,Laceless Leather,5,Size 5 (Elite),Wet,0.4656,28,182.5,12.081,0.5639
F1,Laceless Leather,5,Size 5 (Elite),Wet,0.4656,35,285.15,18.877,0.8811
G1,Laced Leather,3,Size 3 (U10),Dry,0.3507,10,17.53,1.14,0.0526
G1,Laced Leather,3,Size 3 (U10),Dry,0.3507,14,34.37,2.234,0.1031
G1,Laced Leather,3,Size 3 (U10),Dry,0.3507,18,56.81,3.693,0.1704
G1,Laced Leather,3,Size 3 (U10),Dry,0.3507,23,92.76,6.029,0.2783
G1,Laced Leather,3,Size 3 (U10),Dry,0.3507,28,137.47,8.936,0.4124
G1,Laced Leather,3,Size 3 (U10),Dry,0.3507,35,214.8,13.962,0.6444
G1,Laced Leather,3,Size 3 (U10),Damp,0.3612,10,18.06,1.174,0.0542
G1,Laced Leather,3,Size 3 (U10),Damp,0.3612,14,35.4,2.301,0.1062
G1,Laced Leather,3,Size 3 (U10),Damp,0.3612,18,58.52,3.804,0.1755
G1,Laced Leather,3,Size 3 (U10),Damp,0.3612,23,95.54,6.21,0.2866
G1,Laced Leather,3,Size 3 (U10),Damp,0.3612,28,141.59,9.204,0.4248
G1,Laced Leather,3,Size 3 (U10),Damp,0.3612,35,221.24,14.381,0.6637
G1,Laced Leather,3,Size 3 (U10),Wet,0.3717,10,18.59,1.208,0.0558
G1,Laced Leather,3,Size 3 (U10),Wet,0.3717,14,36.43,2.368,0.1093
G1,Laced Leather,3,Size 3 (U10),Wet,0.3717,18,60.22,3.914,0.1807
G1,Laced Leather,3,Size 3 (U10),Wet,0.3717,23,98.32,6.391,0.295
G1,Laced Leather,3,Size 3 (U10),Wet,0.3717,28,145.72,9.472,0.4372
G1,Laced Leather,3,Size 3 (U10),Wet,0.3717,35,227.68,14.799,0.6831
G1,Laced Leather,4,Size 4 (U14),Dry,0.4046,10,20.23,1.315,0.0607
G1,Laced Leather,4,Size 4 (U14),Dry,0.4046,14,39.65,2.578,0.119
G1,Laced Leather,4,Size 4 (U14),Dry,0.4046,18,65.55,4.261,0.1967
G1,Laced Leather,4,Size 4 (U14),Dry,0.4046,23,107.03,6.957,0.3211
G1,Laced Leather,4,Size 4 (U14),Dry,0.4046,28,158.62,10.31,0.4759
G1,Laced Leather,4,Size 4 (U14),Dry,0.4046,35,247.84,16.11,0.7435
G1,Laced Leather,4,Size 4 (U14),Damp,0.4168,10,20.84,1.355,0.0625
G1,Laced Leather,4,Size 4 (U14),Damp,0.4168,14,40.84,2.655,0.1225
G1,Laced Leather,4,Size 4 (U14),Damp,0.4168,18,67.52,4.389,0.2026
G1,Laced Leather,4,Size 4 (U14),Damp,0.4168,23,110.24,7.165,0.3307
G1,Laced Leather,4,Size 4 (U14),Damp,0.4168,28,163.38,10.62,0.4901
G1,Laced Leather,4,Size 4 (U14),Damp,0.4168,35,255.28,16.593,0.7658
G1,Laced Leather,4,Size 4 (U14),Wet,0.4289,10,21.45,1.394,0.0643
G1,Laced Leather,4,Size 4 (U14),Wet,0.4289,14,42.03,2.732,0.1261
G1,Laced Leather,4,Size 4 (U14),Wet,0.4289,18,69.48,4.517,0.2085
G1,Laced Leather,4,Size 4 (U14),Wet,0.4289,23,113.45,7.374,0.3403
G1,Laced Leather,4,Size 4 (U14),Wet,0.4289,28,168.14,10.929,0.5044
G1,Laced Leather,4,Size 4 (U14),Wet,0.4289,35,262.71,17.076,0.7881
G1,Laced Leather,5,Size 5 (Elite),Dry,0.4496,10,22.48,1.461,0.0674
G1,Laced Leather,5,Size 5 (Elite),Dry,0.4496,14,44.06,2.864,0.1322
G1,Laced Leather,5,Size 5 (Elite),Dry,0.4496,18,72.84,4.734,0.2185
G1,Laced Leather,5,Size 5 (Elite),Dry,0.4496,23,118.92,7.73,0.3568
G1,Laced Leather,5,Size 5 (Elite),Dry,0.4496,28,176.24,11.456,0.5287
G1,Laced Leather,5,Size 5 (Elite),Dry,0.4496,35,275.38,17.9,0.8261
G1,Laced Leather,5,Size 5 (Elite),Damp,0.4631,10,23.15,1.505,0.0695
G1,Laced Leather,5,Size 5 (Elite),Damp,0.4631,14,45.38,2.95,0.1361
G1,Laced Leather,5,Size 5 (Elite),Damp,0.4631,18,75.02,4.876,0.2251
G1,Laced Leather,5,Size 5 (Elite),Damp,0.4631,23,122.49,7.962,0.3675
G1,Laced Leather,5,Size 5 (Elite),Damp,0.4631,28,181.53,11.799,0.5446
G1,Laced Leather,5,Size 5 (Elite),Damp,0.4631,35,283.64,18.437,0.8509
G1,Laced Leather,5,Size 5 (Elite),Wet,0.4766,10,23.83,1.549,0.0715
G1,Laced Leather,5,Size 5 (Elite),Wet,0.4766,14,46.7,3.036,0.1401
G1,Laced Leather,5,Size 5 (Elite),Wet,0.4766,18,77.21,5.018,0.2316
G1,Laced Leather,5,Size 5 (Elite),Wet,0.4766,23,126.05,8.194,0.3782
G1,Laced Leather,5,Size 5 (Elite),Wet,0.4766,28,186.82,12.143,0.5605
G1,Laced Leather,5,Size 5 (Elite),Wet,0.4766,35,291.9,18.974,0.8757
