Ball_Type,Ball_Name,Ball_Size,Size_Label,Condition,Mass_kg,Velocity_m_s,Energy_J,Peak_Pressure_kPa,PPSI90_Duration_ms
B1,Fuse Welded,3,Size 3 (U10),Dry,0.3408,23,90.14,6.814,0.3011
B1,Fuse Welded,3,Size 3 (U10),Dry,0.3408,28,133.59,10.099,0.4462
B1,Fuse Welded,3,Size 3 (U10),Dry,0.3408,35,208.73,15.78,0.6972
B1,Fuse Welded,3,Size 3 (U10),Damp,0.351,10,17.55,1.327,0.0586
B1,Fuse Welded,3,Size 3 (U10),Damp,0.351,14,34.4,2.601,0.1149
B1,Fuse Welded,3,Size 3 (U10),Damp,0.351,18,56.86,4.299,0.1899
B1,Fuse Welded,3,Size 3 (U10),Damp,0.351,23,92.84,7.019,0.3101
B1,Fuse Welded,3,Size 3 (U10),Damp,0.351,28,137.59,10.402,0.4596
B1,Fuse Welded,3,Size 3 (U10),Damp,0.351,35,214.99,16.253,0.7181
B1,Fuse Welded,3,Size 3 (U10),Wet,0.3612,10,18.06,1.365,0.0603
B1,Fuse Welded,3,Size 3 (U10),Wet,0.3612,14,35.4,2.676,0.1182
B1,Fuse Welded,3,Size 3 (U10),Wet,0.3612,18,58.52,4.424,0.1955
B1,Fuse Welded,3,Size 3 (U10),Wet,0.3612,23,95.55,7.223,0.3191
B1,Fuse Welded,3,Size 3 (U10),Wet,0.3612,28,141.6,10.705,0.4729
B1,Fuse Welded,3,Size 3 (U10),Wet,0.3612,35,221.25,16.727,0.739
B1,Fuse Welded,4,Size 4 (U14),Dry,0.3932,10,19.66,1.486,0.0657
B1,Fuse Welded,4,Size 4 (U14),Dry,0.3932,14,38.53,2.913,0.1287
B1,Fuse Welded,4,Size 4 (U14),Dry,0.3932,18,63.7,4.816,0.2128
B1,Fuse Welded,4,Size 4 (U14),Dry,0.3932,23,104.0,7.863,0.3474
B1,Fuse Welded,4,Size 4 (U14),Dry,0.3932,28,154.14,11.653,0.5148
B1,Fuse Welded,4,Size 4 (U14),Dry,0.3932,35,240.84,18.208,0.8044
B1,Fuse Welded,4,Size 4 (U14),Damp,0.405,10,20.25,1.531,0.0676
B1,Fuse Welded,4,Size 4 (U14),Damp,0.405,14,39.69,3.001,0.1326
B1,Fuse Welded,4,Size 4 (U14),Damp,0.405,18,65.61,4.96,0.2191
B1,Fuse Welded,4,Size 4 (U14),Damp,0.405,23,107.12,8.099,0.3578
B1,Fuse Welded,4,Size 4 (U14),Damp,0.405,28,158.76,12.002,0.5303
B1,Fuse Welded,4,Size 4 (U14),Damp,0.405,35,248.07,18.754,0.8285
B1,Fuse Welded,4,Size 4 (U14),Wet,0.4168,10,20.84,1.576,0.0696
B1,Fuse Welded,4,Size 4 (U14),Wet,0.4168,14,40.85,3.088,0.1364
B1,Fuse Welded,4,Size 4 (U14),Wet,0.4168,18,67.52,5.105,0.2255
B1,Fuse Welded,4,Size 4 (U14),Wet,0.4168,23,110.24,8.334,0.3682
B1,Fuse Welded,4,Size 4 (U14),Wet,0.4168,28,163.39,12.352,0.5457
B1,Fuse Welded,4,Size 4 (U14),Wet,0.4168,35,255.29,19.3,0.8527
B1,Fuse Welded,5,Size 5 (Elite),Dry,0.4369,10,21.84,1.651,0.073
B1,Fuse Welded,5,Size 5 (Elite),Dry,0.4369,14,42.82,3.237,0.143
B1,Fuse Welded,5,Size 5 (Elite),Dry,0.4369,18,70.78,5.351,0.2364
B1,Fuse Welded,5,Size 5 (Elite),Dry,0.4369,23,115.56,8.736,0.386
B1,Fuse Welded,5,Size 5 (Elite),Dry,0.4369,28,171.26,12.948,0.572
B1,Fuse Welded,5,Size 5 (Elite),Dry,0.4369,35,267.6,20.231,0.8938
B1,Fuse Welded,5,Size 5 (Elite),Damp,0.45,10,22.5,1.701,0.0752
B1,Fuse Welded,5,Size 5 (Elite),Damp,0.45,14,44.1,3.334,0.1473
B1,Fuse Welded,5,Size 5 (Elite),Damp,0.45,18,72.9,5.511,0.2435
B1,Fuse Welded,5,Size 5 (Elite),Damp,0.45,23,119.03,8.998,0.3975
B1,Fuse Welded,5,Size 5 (Elite),Damp,0.45,28,176.4,13.336,0.5892
B1,Fuse Welded,5,Size 5 (Elite),Damp,0.45,35,275.63,20.838,0.9206
B1,Fuse Welded,5,Size 5 (Elite),Wet,0.4631,10,23.16,1.751,0.0773
B1,Fuse Welded,5,Size 5 (Elite),Wet,0.4631,14,45.39,3.431,0.1516
B1,Fuse Welded,5,Size 5 (Elite),Wet,0.4631,18,75.02,5.672,0.2506
B1,Fuse Welded,5,Size 5 (Elite),Wet,0.4631,23,122.49,9.261,0.4091
B1,Fuse Welded,5,Size 5 (Elite),Wet,0.4631,28,181.54,13.724,0.6063
B1,Fuse Welded,5,Size 5 (Elite),Wet,0.4631,35,283.66,21.444,0.9474
C1,Machine Stitched,3,Size 3 (U10),Dry,0.3333,10,16.66,1.363,0.0598
C1,Machine Stitched,3,Size 3 (U10),Dry,0.3333,14,32.66,2.672,0.1173
C1,Machine Stitched,3,Size 3 (U10),Dry,0.3333,18,53.99,4.417,0.1938
C1,Machine Stitched,3,Size 3 (U10),Dry,0.3333,23,88.16,7.211,0.3165
C1,Machine Stitched,3,Size 3 (U10),Dry,0.3333,28,130.65,10.687,0.469
C1,Machine Stitched,3,Size 3 (U10),Dry,0.3333,35,204.14,16.699,0.7329
C1,Machine Stitched,3,Size 3 (U10),Damp,0.3433,10,17.16,1.404,0.0616
C1,Machine Stitched,3,Size 3 (U10),Damp,0.3433,14,33.64,2.752,0.1208
C1,Machine Stitched,3,Size 3 (U10),Damp,0.3433,18,55.61,4.549,0.1997
C1,Machine Stitched,3,Size 3 (U10),Damp,0.3433,23,90.8,7.428,0.326
C1,Machine Stitched,3,Size 3 (U10),Damp,0.3433,28,134.57,11.008,0.4831
C1,Machine Stitched,3,Size 3 (U10),Damp,0.3433,35,210.27,17.2,0.7549
C1,Machine Stitched,3,Size 3 (U10),Wet,0.3533,10,17.66,1.445,0.0634
C1,Machine Stitched,3,Size 3 (U10),Wet,0.3533,14,34.62,2.832,0.1243
